Influencer;Username;Cidade;Investimento;Posts;Stories;Feed;Tiktok;Impressoes;Interacoes;Cliques;Video Views;CPE;CTR;CPC;CPV;Engajamento;Engajamento Tiktok;Cliques Tiktok;Impressoes Tiktok;Url Foto Perfil
Gabi Verde Limão;gabiverdelimao;São Paulo;2997;9;9;0;0;23419;222;193;23419;R$0,13;0,80%;R$62,46;R$0,13;0,92%;0,00%;0;0;
Paola Santerini;paolasanterini;São Paulo;4500;9;9;0;0;88585;151;132;88585;R$0,05;0,17%;R$38,59;R$0,05;0,15%;0,00%;0;0;
Apezinho 109;apezinho109;Nova Iguaçu;4160;10;7;0;0;41011;838;298;41011;R$0,20;0,50%;R$80,40;R$0,20;1,85%;0,00%;0;0;
Gabriel Jacome;ga.jacome;São Paulo;2331;7;7;0;0;12080;138;62;12080;R$0,20;0,50%;R$47,85;R$0,20;1,03%;0,00%;0;0;
Rafa Baricala;rafabaricala;São Paulo;8624;4;3;0;1;48172;2962;186;54974;R$0,14;0,34%;R$46,47;R$0,15;4,15%;15,80%;112;18247;
Alexia Brito;botaa_po;São Paulo;12244;8;7;1;0;178955;6703;1560;181842;R$0,07;0,89%;R$21,29;R$0,07;2,49%;0,00%;0;0;
Gui Taschetti;guitaschetti;São Paulo;1998;6;6;0;0;7288;105;77;7288;R$0,34;1,16%;R$38,02;R$0,35;1,55%;0,86%;61;11894;
Lica Lopes;licalopes10;São Paulo;12835;9;0;0;1;154596;294;238;160676;R$0,10;0,17%;R$43,38;R$0,11;0,22%;0,00%;0;0;
Marcos Santana;marcostre._;São Paulo;954;3;3;0;0;11108;50;27;11108;R$0,09;0,24%;R$40,63;R$0,09;0,45%;0,00%;0;0;
Miguel Martinez;migueelmartinezzz;Rio de Janeiro;1272;4;3;1;0;3788;146;56;3977;R$0,34;1,51%;R$29,09;R$0,35;3,82%;0,00%;0;0;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
